case_id,claim,design,scale,estimate,ci_low,ci_high,n_cases,n_controls,population,source,provenance,verdict,best_tier,gap_reason,extracted_by,extract_date
MS-001,EBV seroconversion -> MS risk,genetic/cohort,hazard/rate ratio,32.0,2.3,327.6,955.0,~10M US military,White-majority,Bjornevik 2022 Science,catalog_ms web704/711; CI from PMID:38497939,SUPPORTED,T3,,eutils auto-parse (needs biostat check),2026-07-02
MS-002,Iron-rim lesion burden vs disability,observational,odds ratio,0.24,0.15,0.39,,,,PMC 2024 review,PMID:42352643 (eutils auto),SUGGESTIVE,T2-T3,,eutils auto-parse (needs biostat check),2026-07-02
MS-003,Tolebrutinib HERCULES: delay CDP (SPMS),RCT,pct_slowing,31.0,,,,,,HERCULES trial,catalog_ms web700/705,SUPPORTED,T4,,MechVal auto-extract,2026-07-02
MS-005a,Low baseline sNfL: less likely EDSS4,observational,risk ratio,4.3,,,,,,long-term cohort,catalog_ms web721,SUPPORTED,T3,baseline 7.62 pg/mL; direction=protective,MechVal auto-extract,2026-07-02
MS-005b,"sNfL high -> 3mo CDP (SPMS, EXPAND)",observational,hazard ratio,1.32,1.09,1.61,1452.0,,SPMS,Kuhle 2022 Neurology,PMID:35379762 (VERIFIED),SUPPORTED,T3,"PPMS 6mo 1.48(1.01-2.17); wheelchair PPMS 2.97(1.44-6.10); replaces JNNP OR=7.8",Perplexity sweep4 verified,2026-07-02
MS-005c,Rising sNfL FU/BL ratio -> SPMS conversion,observational,odds ratio,1.48,1.08,2.02,196.0,,RRMS/CIS,NaloMS 2021,PMID:34571362 (VERIFIED),SUPPORTED,T2-T3,CORRECTED: catalog OR~49 was mis-scaled; real OR=1.48 per ratio unit,Perplexity sweep4 verified,2026-07-02
MS-006a,OCB+ -> disability outcome (MS),observational,odds ratio,1.96,,,12253.0,,multi,Dobson 2013 JNNP meta,PMID:23431079 (VERIFIED est),SUGGESTIVE,T2-T3,CI not in abstract,Perplexity batch2,2026-07-02
MS-006b,OCB+ -> CIS-to-MS conversion,observational,odds ratio,9.88,,,2685.0,,multi,Dobson 2013 JNNP meta,PMID:23431079 (VERIFIED est),SUPPORTED,T3,CI not in abstract,Perplexity batch2,2026-07-02
MS-007,Genetically-lowered 25(OH)D -> MS (MR),MR,odds ratio,2.0,1.7,2.5,14498.0,24091,European,IMSGC MR,PMID:26305103 Mokry 2015 PLoS Med (VERIFIED),SUPPORTED,T3,"per 1-SD decrease log-25OHD; sensitivity OR 1.7 (1.3-2.2)",Perplexity batch1 verified,2026-07-02
MS-010,Deep GM volume -> time-to-EDSS-prog,observational,hazard ratio,0.73,,,1417.0,7-center,multi,MAGNIMS,catalog_ms web742,SUPPORTED,T3,HR per SD; protective direction; CI not found,MechVal auto-extract,2026-07-02
