cluster,k,note,pooled,ci_low,ci_high,I2,tau2,PI_low,PI_high
AD|MR|odds ratio,0,n<2 with CI -> report separately,,,,,,,
AD|genetic|odds ratio,1,n<2 with CI -> report separately,,,,,,,
AD|observational|hazard ratio,6,,1.6965684895808708,1.3697940680368448,2.101297346077641,85.8,0.037,0.9587616784869989,3.0021481922191247
AD|observational|odds ratio,2,,1.895747133785318,1.7007373777759627,2.1131170762854046,0.0,0.0,0.9379135017348856,3.83175760729277
AD|observational|risk ratio,7,,1.594258250471874,1.5009080256443865,1.6934144702880294,2.4,0.0,1.4653515874512433,1.734504804828766
MS|MR|odds ratio,2,,1.5899838930430599,1.010999979849571,2.5005428590735663,90.2,0.096,0.011652143659786736,216.95997354212452
MS|RCT|hazard ratio,8,,0.6977734449394397,0.6270278749848934,0.7765010135703833,9.6,0.002,0.58756610242832,0.8286519226524833
MS|RCT|odds ratio,1,n<2 with CI -> report separately,,,,,,,
MS|genetic|odds ratio,1,n<2 with CI -> report separately,,,,,,,
MS|genetic/cohort|hazard/rate ratio,1,n<2 with CI -> report separately,,,,,,,
MS|observational|hazard ratio,1,n<2 with CI -> report separately,,,,,,,
MS|observational|odds ratio,3,,0.9717280855284578,0.2660271613778989,3.5494701643019857,96.1,1.255,0.003606215259823492,261.84112821124796
MS|observational|risk ratio,0,n<2 with CI -> report separately,,,,,,,
